,image,accuracy,precision,sensitivity,specificity,f1,iou
0,2014_01,0.9885954280509579,0.9986324512672391,0.9893761425940502,0.9730880085796635,0.9939827479165916,0.9880374773475366
1,2016_01,0.9905044160454824,0.9948910077198695,0.9949009651601539,0.9319105419945756,0.9948959864150969,0.9898438101611023
2,2018_01,0.8869164349240496,0.8901090926682954,0.9896942865678007,0.288054580765765,0.9372638576635082,0.8819346781627987
3,2014_02,0.9798271903535062,0.9983296348495208,0.9800611925039183,0.9764693222375666,0.9891110683640744,0.9784567200309454
4,2016_02,0.9929038056528097,0.9997555539642251,0.9930425268193774,0.9834460875291864,0.9963877334927527,0.9928014699943462
5,2018_02,0.5826753380493579,0.5704198135984663,0.9854949229308204,0.08729946259839337,0.7225920765997608,0.5656705766129472
6,2014_03,0.9947994191458466,0.9994867207272077,0.9947344564728302,0.9953861554781933,0.9971049262352317,0.9942265669849181
7,2016_03,0.9947870814811128,0.9969094359689987,0.997609175204304,0.9404293874335238,0.9972591828414951,0.9945333487744686
8,2018_03,0.9467412869487272,0.9694577282600174,0.9670562204010847,0.8401631431605368,0.968255485252716,0.9384643886281101
9,2014_04,0.9834594695604586,0.9983691707280286,0.9824459417255976,0.9898620932140485,0.9903435549931114,0.9808718202025192
10,2016_04,0.9847224659296953,0.9941767610101879,0.9896788441350832,0.8946333610440336,0.9919227035986571,0.9839748471071069
11,2018_04,0.8682245269822573,0.8759735827607775,0.9862742262851512,0.147831628484591,0.9278573596778602,0.8654234285459189
12,2014_05,0.9795515903146883,0.9970210541563537,0.9789441788848144,0.9830678360479685,0.9878999294838593,0.9760891815569778
13,2016_05,0.9956387515163645,0.9980621643358143,0.997258238700827,0.9733430982410204,0.9976600395652765,0.9953310043955372
14,2018_05,0.7996599820972892,0.8183904041837621,0.9608342457141943,0.17924372442880884,0.8839103333564295,0.791970716846276
15,2014_06,0.980647966339411,0.9954462961000424,0.9819536688870667,0.9727177126530289,0.9886539495734746,0.9775624764209239
16,2016_06,0.9857261413876773,0.9941671359376133,0.9906291781010355,0.9087405795975448,0.9923950037623466,0.9849048064151129
17,2018_06,0.9047823596792669,0.8999736564608463,0.9942732247285223,0.4993294958331621,0.9447762258087513,0.8953325815018267
18,2014_07,0.970414585193205,0.977896754301904,0.9895318585298928,0.7963303632844368,0.9836799022068935,0.967883941627161
19,2016_07,0.9636504951498113,0.9999045015155963,0.9610595792347219,0.9987563048435016,0.9800972990120155,0.9609713731148968
20,2018_07,0.9656891214171428,0.9790848254367196,0.985191324354606,0.5321464720880472,0.9821285830202363,0.9648847257489714
21,2014_08,0.9960827544548475,0.9994401235933008,0.9965301771325552,0.9802678522421647,0.9979830291418854,0.9959741782489228
22,2016_08,0.9079635342110391,0.8960049136481286,0.9961102821190781,0.6126023391812866,0.9434094808928614,0.8928808879433068
23,2018_08,0.952021163654827,0.9577251647546986,0.9877788444110283,0.7332977456576192,0.9725198735626676,0.9465096682062036
24,2014_09,0.9848564608117466,0.9932605278888971,0.9899801812621145,0.936163921823719,0.9916176416738539,0.983374643046988
25,2016_09,0.9770511748908199,0.9867569414948228,0.9871345720387988,0.9039320913338911,0.9869457206440486,0.9742278777712668
26,2018_09,0.8230145448615404,0.8144557574007504,0.9925158810654994,0.2930618959050726,0.8947127408503294,0.8094843520938237
27,2014_10,0.986005911239556,0.9951368112831798,0.9894074270969515,0.9528037135746686,0.9922638488168186,0.9846464748255813
28,2016_10,0.9360460233476107,0.9277481964115233,0.9971016332402471,0.7007825874296895,0.9611754928902462,0.9252530011680752
29,2018_10,0.9013845631196368,0.9028462887914963,0.9793186097703284,0.6213896928335775,0.9395289148694593,0.8859542971450336
